t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/17/2017 03:28:23,0,200,32,9.27,5.44,6.15,0.05,0.0499,0.493,308,361,55,-0.13,-0.71,632,15.9,9.46,5988,22,32,12,46,13,16,6.01,1.02,6.02,0.18,8,50
10/17/2017 03:48:09,1,261,32,9.75,7.52,6.82,0.062,0.0513,0.542,279,337,46,0.09,0.71,639,16.12,9.58,6129,44,64,44,63,33,31,5.84,3.67,5.85,0.49,6,70
10/17/2017 04:34:30,0,292,32,11.58,6.08,6.78,0.026,0.0582,0.531,274,343,47,0.57,-0.69,651,16.6,9.87,6438,62,100,33,110,41,36,27.43,6.52,27.69,1.42,7,65
10/17/2017 07:05:38,1,304,40,9.45,8.1,7.7,0.332,0.0545,0.59,325,405,49,1.36,0.4,684,17.38,10.16,6957,66,105,62,73,39,48,18.63,10.42,20.62,1.23,6,60
10/17/2017 08:11:14,0,300,40,9.47,6.85,6.49,0.219,0.0547,0.498,295,375,55,1.31,0.36,683,17.34,10.13,6926,45,83,32,74,29,35,10.55,3.41,10.83,0.85,7,63
10/17/2017 10:09:17,0,300,40,11.43,7.14,6.01,0.101,0.0703,0.47,263,336,58,0.67,1.12,655,16.7,9.91,6502,63,100,24,99,57,44,11.14,9.66,14.52,1.22,6,69
10/17/2017 10:44:37,1,243,32,9.07,5.57,6.84,-0.017,0.0461,0.539,296,362,387,0.42,-1.27,647,16.45,9.79,6338,22,35,35,48,13,13,6.67,1,6.74,0.18,8,0
10/17/2017 10:53:57,0,325,43,9.96,7.44,6.4,0.103,0.0678,0.505,286,350,44,0.34,1.05,645,16.37,9.73,6285,54,89,23,90,53,36,8.33,6.5,10.46,0.95,7,77
10/17/2017 13:31:32,1,129,17,5.51,5.82,6.15,0.179,0.0171,0.503,321,358,58,-0.81,-0.33,605,15.21,9.18,5564,3,6,9,4,9,6,0.26,0.06,0.26,0,6,49
10/17/2017 16:11:03,1,337,48,12.07,5.59,4.86,0.083,0.0968,0.388,294,348,57,-0.08,0.73,634,15.95,9.49,6021,21,34,36,61,13,19,4.11,0.44,4.12,0.21,7,51
10/17/2017 16:29:53,1,180,30,6.96,6.96,6.15,0.196,0.034,0.489,297,356,58,0.12,0.8,639,16.14,9.6,6144,8,12,24,23,9,5,1.09,0.28,1.11,0.05,7,55
10/17/2017 21:15:55,0,243,32,8.66,6.72,6.04,0.105,0.0404,0.463,259,339,66,1.27,0.68,679,17.3,10.14,6898,21,40,16,42,19,18,4.07,0.73,4.09,0.18,7,53
10/17/2017 22:32:38,1,304,40,10.69,5.69,6.91,0.005,0.0655,0.539,261,336,58,0.71,-1.22,658,16.74,9.91,6527,35,58,45,68,26,25,14.17,3.76,14.64,0.47,8,48
10/18/2017 00:09:58,0,185,26,9.75,7.56,6.55,-0.134,0.0417,0.524,290,342,45,-0.11,1.02,632,15.91,9.47,5998,20,31,8,36,18,17,1.45,1.06,1.46,0.13,6,68
10/18/2017 02:23:28,1,318,43,9.35,6.03,5.58,0.147,0.0733,0.459,271,304,395,-0.96,0.45,600,15.07,9.11,5477,62,113,107,123,61,32,15.06,4.83,15.11,1.07,8,0
10/18/2017 08:10:08,0,302,43,11.73,5.8,6.03,0.011,0.0732,0.462,273,353,58,1.36,-0.23,684,17.39,10.16,6960,47,73,17,79,23,17,13.95,3.64,13.95,0.9,8,51
10/18/2017 08:34:06,1,332,43,11.81,6.46,6.5,0.005,0.0731,0.497,303,382,61,1.38,-0.05,685,17.41,10.17,6976,21,34,19,57,5,13,6.25,0.7,6.26,0.28,7,53
10/18/2017 08:49:52,0,300,48,10.39,5.75,5.55,0.05,0.0718,0.425,283,362,57,1.38,0.19,685,17.4,10.16,6970,52,83,23,94,34,20,15.29,2.93,15.33,1.16,8,51
10/18/2017 10:22:43,1,154,25,9.07,5.34,6.28,0.2,0.0339,0.486,261,339,59,0.95,-0.94,662,16.98,10.09,6685,12,18,22,17,15,7,2.47,0.22,2.48,0.05,6,50
10/18/2017 17:46:51,1,260,32,9.07,7.2,6.53,0.011,0.0461,0.514,319,385,43,0.41,0.68,647,16.44,9.78,6334,18,25,22,33,7,7,1.39,0.71,1.4,0.11,4,74
10/18/2017 20:36:25,0,304,40,9.96,6.15,6.26,-0.019,0.0571,0.479,280,360,62,1.38,-0.11,685,17.41,10.17,6973,34,53,10,59,25,18,7.47,1.99,7.5,0.51,5,45
10/18/2017 21:43:24,0,299,40,11.28,6.67,6.17,0.19,0.0652,0.473,252,332,717,1.29,0.51,682,17.32,10.13,6915,35,67,28,64,31,41,8.54,4.78,9.71,0.51,5,0
10/18/2017 22:11:03,0,199,31,7.92,6.67,5.97,-0.016,0.0357,0.461,276,355,576,1.11,0.69,664,17.13,10.21,6789,18,28,2,28,2,16,1.4,1.02,1.41,0.12,5,0
10/18/2017 22:44:16,0,337,48,12.27,6.76,5.83,0.157,0.0895,0.453,274,351,623,0.85,0.93,660,16.88,10.01,6618,52,87,23,96,26,44,10.72,4.69,11.43,1.05,5,0
10/18/2017 23:53:42,0,129,17,6.93,7.52,6.26,0.014,0.0192,0.495,276,339,49,0.3,1.26,644,16.33,9.7,6260,7,12,7,13,10,9,0.89,0.15,0.89,0.02,5,85
10/19/2017 00:43:27,0,318,43,10.08,6.29,5.29,0.225,0.0722,0.424,263,315,37,-0.12,0.99,632,15.91,9.47,5993,32,46,-2,55,20,17,2.39,1.16,2.55,0.26,5,88
10/19/2017 01:04:51,1,353,43,11.76,5.36,6.1,0.051,0.0859,0.492,284,331,80,-0.33,-0.74,626,15.69,9.35,5859,53,84,76,102,48,32,16.53,4.43,17.03,0.7,8,35
10/19/2017 01:45:16,0,241,32,8.74,7.64,7.19,-0.061,0.0499,0.585,284,324,58,-0.67,0.45,611,15.36,9.25,5654,57,79,24,84,44,52,6.9,5.76,8.63,0.63,4,141
10/19/2017 06:13:37,1,277,40,12.19,6.92,6.18,0.088,0.0761,0.485,283,352,42,0.54,0.74,651,16.57,9.85,6415,33,51,35,68,13,23,5.21,1.41,5.26,0.42,5,80
10/19/2017 08:13:47,0,332,43,10.74,6.4,7.04,0.177,0.0672,0.54,297,377,63,1.28,-0.64,681,17.31,10.13,6906,72,120,50,126,45,39,32.75,6.18,32.77,1.73,7,53
10/19/2017 09:14:06,1,270,35,9.75,5.59,5.74,-0.14,0.0488,0.439,322,402,498,1.41,-0.15,687,17.43,10.17,6992,32,62,52,43,29,26,6.93,3.34,7.02,0.52,6,0
10/19/2017 15:14:34,1,294,33,11.51,3.68,3.62,0.389,0.0696,0.299,276,308,439,-1.08,0.06,597,14.95,9.04,5404,14,23,23,38,8,11,1.8,0.26,1.81,0.08,8,0
10/19/2017 19:55:24,0,277,40,11.2,6.13,6.84,0.105,0.0667,0.529,283,362,41,1.01,-0.71,662,17.04,10.15,6724,46,75,38,84,31,35,17.25,3.58,17.29,1.08,5,91
10/19/2017 22:36:46,0,353,43,11.13,6.68,6.01,0.098,0.0712,0.466,286,364,602,0.95,0.66,662,16.98,10.09,6688,45,82,34,86,29,16,11.7,2.92,11.73,0.64,6,0
